time,high
0,14.569
1,14.908
2,15.173
3,15.149
4,15.228
5,15.408
6,15.634
7,15.552
8,15.448
9,15.463
10,15.588
11,15.594
12,15.515
13,15.408
14,15.546
15,15.811
16,15.884
17,15.887
18,15.811
19,15.591
20,15.35
21,15.295
22,15.295
23,15.375
24,15.466
25,15.601
26,15.704
27,15.808
28,15.823
29,15.967
30,16.116
31,16.101
32,15.948
33,15.796
34,15.738
35,15.842
36,15.964
37,15.918
38,15.793
39,15.823
40,15.991
41,16.022
42,15.909
43,15.82
44,15.799
45,15.625
46,15.408
47,15.298
48,14.987
49,14.508
50,14.359
51,14.694
52,15.238
53,15.695
54,15.942
55,15.924
56,15.491
57,14.789
58,14.239
59,14.041
60,14.093
61,14.23
62,14.41
63,14.468
64,14.301
65,14.154
66,14.209
67,14.551
68,14.92
69,15.07
70,15.018
71,14.944
72,14.947
73,14.981
74,14.889
75,14.706
76,14.441
77,14.148
78,13.803
79,13.446
80,13.174
81,13.159
82,13.333
83,13.403
84,13.245
85,13.007
86,12.878
87,12.903
88,13.04
89,13.278
90,13.553
91,13.8
92,13.937
93,13.937
94,13.888
95,13.852
96,13.873
97,14.078
98,14.304
99,14.459
100,14.725
101,14.712
102,14.563
103,14.148
104,13.971
105,13.892
106,13.852
107,13.373
108,13.229
109,13.22
110,13.29
111,13.36
112,13.586
113,13.611
114,13.559
115,13.748
116,13.934
117,13.904
118,14.078
119,14.102
120,14.209
121,14.236
122,14.548
123,14.59
124,14.703
125,14.743
126,14.819
127,14.688
128,14.609
129,14.624
130,14.636
131,14.526
132,14.392
133,14.337
134,14.386
135,14.383
136,14.368
137,14.575
138,14.825
139,15.002
140,15.1
141,15.137
142,15.005
143,14.944
144,14.886
145,14.899
146,14.886
147,14.917
148,14.941
149,14.972
150,15.045
151,15.131
152,15.137
153,15.152
154,15.201
155,15.259
156,15.271
157,15.244
158,15.167
159,15.109
160,15.067
161,15.082
162,15.128
163,15.204
164,15.298
165,15.405
166,15.417
167,15.488
168,15.662
169,15.845
170,15.906
171,15.869
172,15.836
173,15.933
174,16.119
175,16.223
176,16.235
177,16.11
178,15.796
179,15.598
180,15.61
181,15.598
182,15.598
183,15.457
184,14.99
185,14.795
186,14.761
187,14.474
188,14.3
189,14.331
190,14.352
191,14.346
192,14.2
193,13.94
194,13.754
195,13.748
196,13.797
197,13.73
198,13.577
199,13.357
200,13.144
201,13.04
202,13.083
203,13.269
204,13.556
205,13.742
206,13.696
207,13.495
208,13.238
209,13.089
210,13.223
211,13.58
212,14.011
213,14.246
214,14.355
215,14.358
216,14.304
217,14.215
218,14.096
219,13.965
220,13.84
221,13.769
222,13.702
223,13.638
224,13.58
225,13.583
